place_ID,cell_ID,rząd,poz,fastener_name,screw_image,drive_image,drive_name_and_size,size,material,coating,strength_class,norms
A101,101,1,1,Wkręt stożkowy,DIN7997.svg,PZ.svg,PZ2,5x85,stal,ocynkowana,,DIN7997
A101,102,1,2,Śruba walcowa,DIN912.svg,Hex_Socket.svg,H3,M4x35,stal,ocynkowana,8.8,DIN912
A101,103,1,3,Śruba walcowa,DIN912.svg,Hex_Socket.svg,H4,M5x40,stal,ocynkowana,8.8,DIN912
A101,104,1,4,Wkręt stożkowy,DIN7997.svg,PZ.svg,PZ2,4x16,stal,ocynkowana,,DIN7997
A101,105,1,5,Śruba stożkowa,DIN963.svg,Slotted.svg,Slot,M5x60,stal,ocynkowana,4.8,DIN963
A101,106,1,6,Wkręt stożkowy,DIN7997.svg,PZ.svg,PZ3,6x50,stal,ocynkowana,,DIN7997
A101,107,1,7,Wkręt stożkowy,DIN7997.svg,PZ.svg,PZ2,5x20,stal,ocynkowana,,DIN7997
A101,108,1,8,Wkręt stożkowy,DIN7997.svg,PZ.svg,PZ2,4x60,stal,ocynkowana,,DIN7997
A101,109,1,9,Wkręt stożkowy,Wurth_Assy.svg,Torx.svg,T20,5x70,stal,nierdzewna,A2K,Würth
A101,110,1,10,Haczyk otwarty,haczyk_otwarty.svg,,,fi13x47,stal,ocynkowana,,Eurobolt
A101,111,1,11,Kołek drewniany,kolek_drewn.svg,hammer.svg,,d8x35,drewno,,,
A101,112,1,12,Wkręt walcowy soczewkowy,DIN7981.svg,PZ.svg,PZ2,4.2x25,stal,ocynkowana,,DIN7981
A101,113,1,13,Wkręt stożkowy,DIN7997.svg,PZ.svg,PZ3,6x40,stal,ocynkowana,,DIN7997
A101,114,1,14,Wkręt stożkowy,DIN7504P.svg,PH.svg,PH2,3.9x16,stal,ocynkowana,,DIN7504P
A101,115,1,15,Wkręt stożkowy,DIN7997.svg,PZ.svg,PZ2,5x40,stal,ocynkowana,,DIN7997
A101,116,1,16,Wkręt stożkowy,DIN7997.svg,PZ.svg,PZ2,3.5x25,stal,ocynkowana,,DIN7997
A101,201,2,1,Wkręt stożkowy,DIN7997.svg,PZ.svg,PZ1,3x16,stal,ocynkowana,,DIN7997
A101,202,2,2,Wkręt stożkowy,DIN7997.svg,PZ.svg,PZ2,4.5x16,stal,ocynkowana,,DIN7997
A101,203,2,3,Śruba kulista,DIN7985.svg,PH_Slotted.svg,"PH2,Slot",M4x50,stal,ocynkowana,,DIN7985
A101,204,2,4,Śruba kulista,DIN7985.svg,PH.svg,PH2,M4x70,stal,ocynkowana,,DIN7985
A101,205,2,5,Śruba kulista,DIN7985.svg,PH.svg,PH2,M4x60,stal,nierdzewna,A2,DIN7985
A101,207,2,7,Podkładka poszerzana,ISO7093.svg,,,d5-15,stal,ocynkowana,,ISO7093
A101,208,2,8,Wkręt sześciokątny,DIN571.svg,Hex_External.svg,WAF8,5x60,stal,ocynkowana,,DIN571
A101,209,2,9,Wkręt stożkowy,DIN7997.svg,PZ.svg,PZ3,6x80,stal,ocynkowana,,DIN7997
A101,210,2,10,Haczyk kątowy,haczyk_prosty.svg,,,15x40,stal,ocynkowana,,Eurobolt
A101,212,2,12,Wkręt stożkowy,DIN7504P.svg,PH.svg,PH2,4.8x65,stal,nierdzewna,A2,DIN7504P
A101,213,2,13,Wkręt stożkowy,DIN7504P.svg,PH.svg,PH2,4.8x65,stal,nierdzewna,A2,DIN7504P
A101,214,2,14,Wkręt stożkowy,DIN7997.svg,PZ.svg,PZ2,3.5x20,stal,ocynkowana,,DIN7997
A101,215,2,15,Szekla,Szekla.svg,,,fi11,stal,ocynkowana,,DIN82101A
A101,216,2,16,Nakrętka motylkowa,DIN314.svg,,,M5,stal,ocynkowana,,DIN314
A101,301,3,1,Nakrętka sześciokątna,DIN934.svg,Hex_External.svg,"WAF5,5",M3,stal,ocynkowana,8.8,DIN934
A101,302,3,2,Śruba kulista,ISO7380-1.svg,Hex_Socket.svg,H2,M3x8,stal,nierdzewna,A2,ISO7380-1
A101,303,3,3,Śruba stożkowa,ISO10642.svg,Hex_Socket.svg,H2,M3x8,stal,oksydowana,,ISO10642
A101,304,3,4,Śruba stożkowa,ISO10642.svg,Hex_Socket.svg,H2,M3x20,stal,oksydowana,,ISO10642
A101,305,3,5,Śruba stożkowa,ISO10642.svg,Hex_Socket.svg,H2,M3x30,stal,oksydowana,,ISO10642
A101,306,3,6,Wkręt stożkowy,DIN7504P.svg,PH.svg,PH2,3.5x35,stal,fosfatowana,,DIN7504P
A101,308,3,8,Podkładka sprężynująca,DIN127.svg,,,d6-11,stal,ocynkowana,,DIN127
A101,309,3,9,Podkładka blacharska,DIN9240.svg,,,d4-20,stal,ocynkowana,,DIN9240
A101,310,3,10,Podkładka blacharska,DIN9240.svg,,,d5-25,stal,ocynkowana,,DIN9240
A101,311,3,11,Podkładka poszerzana,ISO7093.svg,,,d4-12,stal,ocynkowana,,ISO7093
A101,312,3,12,Podkładka poszerzana,DIN126.svg,,,d5-12,stal,ocynkowana,,DIN126
A101,313,3,13,Podkładka,DIN126.svg,,,d5-10,stal,ocynkowana,,DIN126
