Container Label,Screw Type Description,Diameter (mm),Length (mm),DIN Norm,ISO Norm,Type,Head Drive Type,size,norms,drive_name_and_size,screw_img
M3x30 czarne stożek imbus H2,Black Countersunk Head Socket Cap Screw,3,30,7991,10642,Screw,Hex,M3x30,"ISO10642, DIN7991",H2,ISO10642.svg
M3x20 czarne stożek imbus H2,Black Countersunk Head Socket Cap Screw,3,20,7991,10642,Screw,Hex,M3x20,"ISO10642, DIN7991",H2,ISO10642.svg
M3x8 nierdzewne kulisty imbus H2,Stainless Steel Button Head Socket Cap Screw,3,8,7380,7380,Screw,Hex,M3x8,"ISO7380, DIN7380",H2,ISO7380.svg
M3x8 czarne stożek imbus H2,Black Countersunk Head Socket Cap Screw,3,8,7991,10642,Screw,Hex,M3x8,"ISO10642, DIN7991",H2,ISO10642.svg
M4 srebrne podkładki,Silver Washers,4,N/A,125,7089,Washer,,M4,"ISO7089, DIN125",,ISO7089.svg
M4x14 srebrne stożek imbus H2.5,Silver Countersunk Head Socket Cap Screw,4,14,7991,10642,Screw,Hex,M4x14,"ISO10642, DIN7991",H2.5,ISO10642.svg
M4x10 nierdzewne stożek imbus H2.5,Stainless Steel Countersunk Head Socket Cap Screw,4,10,7991,10642,Screw,Hex,M4x10,"ISO10642, DIN7991",H2.5,ISO10642.svg
M4x16 czarne stożek imbus H2.5,Black Countersunk Head Socket Cap Screw,4,16,7991,10642,Screw,Hex,M4x16,"ISO10642, DIN7991",H2.5,ISO10642.svg
M4x16 nierdzewne stożek imbus H2.5,Stainless Steel Countersunk Head Socket Cap Screw,4,16,7991,10642,Screw,Hex,M4x16,"ISO10642, DIN7991",H2.5,ISO10642.svg
M4 srebrne nakrętki 6-kątne,Silver Hex Nuts,4,N/A,934,4032,Nut,Hex,M4,"ISO4032, DIN934",7mm,ISO4032.svg
M4x14 czarne stożek imbus H2.5,Black Countersunk Head Socket Cap Screw,4,14,7991,10642,Screw,Hex,M4x14,"ISO10642, DIN7991",H2.5,ISO10642.svg
M4x12 czarne stożek imbus H2.5,Black Countersunk Head Socket Cap Screw,4,12,7991,10642,Screw,Hex,M4x12,"ISO10642, DIN7991",H2.5,ISO10642.svg
M4x12 czarne walcowy imbus H3,Black Cylindrical (Socket Head Cap) Screw,4,12,912,4762,Screw,Hex,M4x12,"ISO4762, DIN912",H3,ISO4762.svg
M4x16 nierdzewne walcowy imbus H3,Stainless Steel Cylindrical (Socket Head Cap) Screw,4,16,912,4762,Screw,Hex,M4x16,"ISO4762, DIN912",H3,ISO4762.svg
M4x6 stalowe kołki hartowane,Hardened Steel Pins,4,6,5140,6792,Other,,M4x6,"ISO6792, DIN5140",,ISO6792.svg
M4x20 nierdzewne stożek imbus H2.5,Stainless Steel Countersunk Head Socket Cap Screw,4,20,7991,10642,Screw,Hex,M4x20,"ISO10642, DIN7991",H2.5,ISO10642.svg
4x31 stalowe kołki hartowane,Hardened Steel Dowel,4,31,6325,8734,Other,,M4x31,"ISO8734, DIN6325",,ISO8734.svg
M4 srebrne nakrętki kwadrat niskie,Silver Square Nuts Thin-Profile,4,N/A,562,,Nut,,M4,"ISO, DIN562",7mm,ISO.svg
M4x12 srebrne stożek imbus H2.5,Silver Countersunk Head Socket Cap Screw,4,12,7991,10642,Screw,Hex,M4x12,"ISO10642, DIN7991",H2.5,ISO10642.svg
